row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,product_id,product_name,category,sub_category,country,city,state,region,sales,quantity,discount,profit
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases,United States,Henderson,Kentucky,South,261.96,2,0.0,41.9136
150,CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,Justin Ellison,Corporate,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,United States,Franklin,Wisconsin,Central,1951.84,8,0.0,585.552
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,United States,Henderson,Kentucky,South,731.94,3,0.0,219.582
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,United States,Los Angeles,California,West,14.62,2,0.0,6.8714
943,CA-2016-142958,2016-12-13,2016-12-20,Standard Class,RW-19630,Rob Williams,Corporate,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,United States,Torrance,California,West,1114.272,4,0.2,41.7852
25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,Emily Burns,Consumer,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,United States,Orem,Utah,West,1044.63,3,0.0,240.2649
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,United States,Fort Lauderdale,Florida,South,957.5775,5,0.45,-383.031
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,United States,Fort Lauderdale,Florida,South,22.368,2,0.2,2.5164
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,United States,Los Angeles,California,West,48.86,7,0.0,14.1694
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,OFF-AR-10002833,Newell 322,Office Supplies,Art,United States,Los Angeles,California,West,7.28,4,0.0,1.9656
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Technology,Phones,United States,Los Angeles,California,West,907.152,6,0.2,90.7152
774,CA-2017-104220,2017-01-30,2017-02-05,Standard Class,BV-11245,Benjamin Venier,Corporate,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,United States,Des Moines,Iowa,Central,7.71,1,0.0,3.4695
121,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,Steven Cartwright,Consumer,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,United States,Wilmington,Delaware,East,30.84,4,0.0,13.878
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,United States,Los Angeles,California,West,18.504,3,0.2,5.7825
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,United States,Los Angeles,California,West,114.9,5,0.0,34.47
454,CA-2017-147277,2017-10-20,2017-10-24,Standard Class,EB-13705,Ed Braxton,Corporate,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables,United States,Akron,Ohio,East,284.364,2,0.4,-75.8304
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables,United States,Los Angeles,California,West,1706.184,9,0.2,85.3092
691,US-2014-117135,2014-06-21,2014-06-23,Second Class,NP-18325,Naresj Patel,Consumer,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Technology,Phones,United States,Waynesboro,Virginia,South,284.82,1,0.0,74.0532
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Technology,Phones,United States,Los Angeles,California,West,911.424,4,0.2,68.3568
798,CA-2015-124653,2015-12-24,2015-12-26,First Class,DB-13120,David Bremer,Corporate,OFF-PA-10002365,Xerox 1967,Office Supplies,Paper,United States,Rochester,New York,East,12.96,2,0.0,6.2208
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,OFF-PA-10002365,Xerox 1967,Office Supplies,Paper,United States,Concord,North Carolina,South,15.552,3,0.2,5.4432
342,CA-2014-122336,2014-04-13,2014-04-17,Second Class,JD-15895,Jonathan Doherty,Corporate,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,United States,Philadelphia,Pennsylvania,East,509.97,10,0.7,-407.976
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,Irene Maddox,Consumer,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,United States,Seattle,Washington,West,407.976,3,0.2,132.5922
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,United States,Fort Worth,Texas,Central,68.81,5,0.8,-123.858
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,United States,Fort Worth,Texas,Central,2.544,3,0.8,-3.816
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,United States,Madison,Wisconsin,Central,665.88,6,0.0,13.3176
345,US-2015-120712,2015-12-20,2015-12-24,Standard Class,CS-12130,Chad Sievert,Consumer,OFF-ST-10000107,Fellowes Super Stor/Drawer,Office Supplies,Storage,United States,Austin,Texas,Central,88.8,4,0.2,-2.22
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,OFF-ST-10000107,Fellowes Super Stor/Drawer,Office Supplies,Storage,United States,West Jordan,Utah,West,55.5,2,0.0,9.99
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,OFF-AR-10003056,Newell 341,Office Supplies,Art,United States,San Francisco,California,West,8.56,2,0.0,2.4824
20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,TEC-PH-10001949,Cisco SPA 501G IP Phone,Technology,Phones,United States,San Francisco,California,West,213.48,3,0.2,16.011
21,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,United States,San Francisco,California,West,22.72,4,0.2,7.384
22,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,OFF-AR-10000246,Newell 318,Office Supplies,Art,United States,Fremont,Nebraska,Central,19.46,7,0.0,5.0596
23,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,United States,Fremont,Nebraska,Central,60.34,7,0.0,15.6884
